X,Y,Hex
1,1,#FFFFFF
2,1,#CCCCCC
3,1,#999999
4,1,#666666
5,1,#333333
6,1,#000000
7,1,#FFCC00
8,1,#FF9900
9,1,#FF6600
10,1,#FF3300
1,2,#99CC00
6,2,#CC9900
7,2,#FFCC33
8,2,#FFCC66
9,2,#FF9966
10,2,#FF6633
11,2,#CC3300
16,2,#CC0033
1,3,#CCFF00
2,3,#CCFF33
3,3,#333300
4,3,#666600
5,3,#999900
6,3,#CCCC00
7,3,#FFFF00
8,3,#CC9933
9,3,#CC6633
10,3,#330000
11,3,#660000
12,3,#990000
13,3,#CC0000
14,3,#FF0000
15,3,#FF3366
16,3,#FF0033
1,4,#99FF00
2,4,#CCFF66
3,4,#99CC33
4,4,#666633
5,4,#999933
6,4,#CCCC33
7,4,#FFFF33
8,4,#996600
9,4,#993300
10,4,#663333
11,4,#993333
12,4,#CC3333
13,4,#FF3333
14,4,#CC3366
15,4,#FF6699
16,4,#FF0066
1,5,#66FF00
2,5,#99FF66
3,5,#66CC33
4,5,#669900
5,5,#999966
6,5,#CCCC66
7,5,#FFFF66
8,5,#996633
9,5,#663300
10,5,#996666
11,5,#CC6666
12,5,#FF6666
13,5,#990033
14,5,#CC3399
15,5,#FF66CC
16,5,#FF0099
1,6,#33FF00
2,6,#66FF33
3,6,#339900
4,6,#66CC00
5,6,#99FF33
6,6,#CCCC99
7,6,#FFFF99
8,6,#CC9966
9,6,#CC6600
10,6,#CC9999
11,6,#FF9999
12,6,#FF3399
13,6,#CC0066
14,6,#990066
15,6,#FF33CC
16,6,#FF00CC
1,7,#00CC00
2,7,#33CC00
3,7,#336600
4,7,#669933
5,7,#99CC66
6,7,#CCFF99
7,7,#FFFFCC
8,7,#FFCC99
9,7,#FF9933
10,7,#FFCCCC
11,7,#FF99CC
12,7,#CC6699
13,7,#993366
14,7,#660033
15,7,#CC0099
16,7,#330033
1,8,#33CC33
2,8,#66CC66
3,8,#00FF00
4,8,#33FF33
5,8,#66FF66
6,8,#99FF99
7,8,#CCFFCC
11,8,#CC99CC
12,8,#996699
13,8,#993399
14,8,#990099
15,8,#663366
16,8,#660066
1,9,#006000
2,9,#336633
3,9,#009900
4,9,#339933
5,9,#669966
6,9,#99CC99
10,9,#FFCCFF
11,9,#FF99FF
12,9,#FF66FF
13,9,#FF33FF
14,9,#FF00FF
15,9,#CC66CC
16,9,#CC33CC
1,10,#003300
2,10,#00CC33
3,10,#006633
4,10,#339966
5,10,#66CC99
6,10,#99FFCC
7,10,#CCFFFF
8,10,#3399FF
9,10,#99CCFF
10,10,#CCCCFF
11,10,#CC99FF
12,10,#9966CC
13,10,#663399
14,10,#330066
15,10,#9900CC
16,10,#CC00CC
1,11,#00FF33
2,11,#33FF66
3,11,#009933
4,11,#00CC66
5,11,#33FF99
6,11,#99FFFF
7,11,#99CCCC
8,11,#0066CC
9,11,#6699CC
10,11,#9999FF
11,11,#9999CC
12,11,#9933FF
13,11,#6600CC
14,11,#660099
15,11,#CC33FF
16,11,#CC00FF
1,12,#00FF66
2,12,#66FF99
3,12,#33CC66
4,12,#009966
5,12,#66FFFF
6,12,#66CCCC
7,12,#669999
8,12,#003366
9,12,#336699
10,12,#6666FF
11,12,#6666CC
12,12,#666699
13,12,#330099
14,12,#9933CC
15,12,#CC66FF
16,12,#9900FF
1,13,#00FF99
2,13,#66FFCC
3,13,#33CC99
4,13,#33FFFF
5,13,#33CCCC
6,13,#339999
7,13,#336666
8,13,#006699
9,13,#003399
10,13,#3333FF
11,13,#3333CC
12,13,#333399
13,13,#333366
14,13,#6633CC
15,13,#9966FF
16,13,#6600FF
1,14,#00FFCC
2,14,#33FFCC
3,14,#00FFFF
4,14,#00CCCC
5,14,#009999
6,14,#006666
7,14,#003333
8,14,#3399CC
9,14,#3366CC
10,14,#0000FF
11,14,#0000CC
12,14,#000099
13,14,#000066
14,14,#000033
15,14,#6633FF
16,14,#3300FF
1,15,#00CC99
6,15,#0099CC
7,15,#33CCFF
8,15,#66CCFF
9,15,#6699FF
10,15,#3366FF
11,15,#0033CC
16,15,#3300CC
7,16,#00CCFF
8,16,#0099FF
9,16,#0066FF
10,16,#0033FF
